TimeStamp,Base1mean,Base1min
timestamp,m,m
09/11/2019 17:35,233,128
09/11/2019 17:40,155,110
09/11/2019 17:45,189,128
09/11/2019 17:50,182,110
09/11/2019 17:55,246,101
09/11/2019 18:00,262,137
09/11/2019 18:05,279,146
09/11/2019 18:10,184,137
09/11/2019 18:15,146,119
09/11/2019 18:20,163,137
09/11/2019 18:25,193,137
09/11/2019 18:30,257,146
09/11/2019 18:35,391,238
09/11/2019 18:40,393,274
09/11/2019 18:45,431,155
09/11/2019 18:50,293,174
09/11/2019 18:55,305,183
09/11/2019 19:00,389,219
09/11/2019 19:05,327,192
09/11/2019 19:10,397,256
09/11/2019 19:15,300,101
09/11/2019 19:20,321,101
09/11/2019 19:25,285,229
09/11/2019 19:30,244,192
09/11/2019 19:35,201,155
09/11/2019 19:40,206,137
09/11/2019 19:45,219,155
09/11/2019 19:50,220,155
09/11/2019 19:55,196,137
09/11/2019 20:00,174,128
09/11/2019 20:05,158,119
09/11/2019 20:10,178,137
09/11/2019 20:15,190,128
09/11/2019 20:20,196,137
09/11/2019 20:25,190,128
09/11/2019 20:30,187,137
09/11/2019 20:35,159,119
09/11/2019 20:40,169,128
09/11/2019 20:45,148,128
09/11/2019 20:50,147,110
09/11/2019 20:55,140,110
09/11/2019 21:00,132,101
09/11/2019 21:05,133,101
09/11/2019 21:10,128,91
09/11/2019 21:15,123,101
09/11/2019 21:20,124,101
09/11/2019 21:25,132,110
09/11/2019 21:30,103,91
09/11/2019 21:35,105,91
09/11/2019 21:40,93,82
09/11/2019 21:45,104,91
09/11/2019 21:50,105,91
09/11/2019 21:55,103,82
09/11/2019 22:00,83,64
09/11/2019 22:05,151,64
09/11/2019 22:10,109,64
09/11/2019 22:15,77,64
09/11/2019 22:20,76,55
09/11/2019 22:25,92,64
09/11/2019 22:30,107,91
09/11/2019 22:35,194,64
09/11/2019 22:40,126,64
09/11/2019 22:45,149,91
09/11/2019 22:50,112,64
09/11/2019 22:55,72,55
09/11/2019 23:00,61,55
09/11/2019 23:05,69,55
09/11/2019 23:10,114,82
09/11/2019 23:15,164,110
09/11/2019 23:20,116,101
09/11/2019 23:25,99,82
09/11/2019 23:30,103,82
09/11/2019 23:35,89,64
09/11/2019 23:40,70,55
09/11/2019 23:45,62,46
09/11/2019 23:50,82,46
09/11/2019 23:55,80,55
10/11/2019 00:00,81,55
